Time,data
2133779854.0736268,-0.36
2133779854.1134865,-0.36
2133779854.1545575,-0.36
2133779854.193536,-0.36
2133779854.2338817,-0.36
2133779854.2740605,-0.36
2133779854.313585,-0.36
2133779854.3533363,-0.36
2133779854.3933315,-0.36
2133779854.4333558,-0.36
2133779854.4739552,-0.36
2133779854.5144563,-0.36
2133779854.5533745,-0.36
2133779854.5953474,-0.36
2133779854.633549,-0.36
2133779854.674485,-0.36
2133779854.7132483,-0.36
2133779854.7529829,-0.36
2133779854.7949991,-0.36
2133779854.8336618,-0.36
2133779854.8732173,-0.36
2133779854.9156492,-0.36
2133779854.9534636,-0.36
2133779854.9939232,-0.36
2133779855.0361123,-0.36
2133779855.0736322,-0.33779418869424177
2133779855.113519,-0.34107375180844146
2133779855.1531236,-0.34400797343492406
2133779855.1928296,-0.3379326770221581
2133779855.233023,-0.32721863021268954
2133779855.2731683,-0.309316195455824
2133779855.3137891,-0.34024992017387606
2133779855.3528771,-0.30882120605654817
2133779855.3938177,-0.279969119712068
2133779855.4336925,-0.33885396656869454
2133779855.4745786,-0.3233861784817962
2133779855.5136874,-0.30665828706048504
2133779855.5535069,-0.2813235756157679
2133779855.5930078,-0.2685506209367204
2133779855.6333783,-0.24422097445799557
2133779855.6744957,-0.24422097445799557
2133779855.7137125,-0.3145577210339968
2133779855.7538173,-0.2927070399841037
2133779855.793406,-0.26722944381589425
2133779855.8341193,-0.2806390830858578
2133779855.8742087,-0.26923488511400934
2133779855.913805,-0.2549742949882332
2133779855.9538932,-0.22154473405673025
2133779855.9934359,-0.22154473405673025
2133779856.0329716,-0.18916684894403707
2133779856.075693,-0.17104996783890747
2133779856.1140792,-0.19622753033060247
2133779856.1537302,-0.18027748010739586
2133779856.1937578,-0.14712918335832847
2133779856.23545,-0.06355865375520137
2133779856.273599,-0.05267039008415483
2133779856.3136792,-0.029997508507873527
2133779856.353474,-0.052729996853592254
2133779856.3931386,-0.012271324322669475
2133779856.4332025,-0.012271324322669475
2133779856.4731474,0.011430761096483999
2133779856.5128942,0.039911589611417
2133779856.5534403,0.039911589611417
2133779856.594828,0.09335638837658289
2133779856.6334586,0.12811912812304438
2133779856.6740086,0.16949304490099076
2133779856.7142138,0.16949304490099076
2133779856.7537873,0.22823319514464546
2133779856.793479,0.2548404775621109
2133779856.8338604,0.2548404775621109
2133779856.8741703,0.36
2133779856.9135382,0.36
2133779856.9535944,0.36
2133779856.9937043,0.36
2133779857.0340626,0.36
2133779857.0744326,0.36
2133779857.1132312,0.36
2133779857.1547217,0.36
2133779857.1943092,0.36
2133779857.2343442,0.36
2133779857.2728024,0.36
2133779857.313284,0.36
2133779857.355721,0.36
2133779857.3947415,0.36
2133779857.4331522,0.36
2133779857.4736786,0.36
2133779857.5131638,0.36
2133779857.553176,0.36
2133779857.5958548,0.36
2133779857.6330707,0.36
2133779857.673174,0.36
2133779857.7131386,0.36
2133779857.753282,0.36
2133779857.7948513,0.36
2133779857.8336122,0.36
2133779857.873119,0.36
2133779857.9133604,0.36
2133779857.954796,0.36
2133779857.994498,0.36
2133779858.034135,0.36
2133779858.0732481,0.36
2133779858.1133368,0.36
2133779858.1532145,0.36
2133779858.1931446,0.36
2133779858.2340283,0.36
2133779858.2729006,0.36
2133779858.3149774,0.3411722127597347
2133779858.3540425,0.34123418639106673
2133779858.3933024,0.3379411320484956
2133779858.4335752,0.33849878226209507
2133779858.4735644,0.3318032258099513
2133779858.5143352,0.32865868559174805
2133779858.5541947,0.3068543132744694
2133779858.593088,0.2591823994055622
2133779858.6358697,0.2591823994055622
2133779858.6738644,0.308483287973612
2133779858.713461,0.279138424453349
2133779858.7533183,0.23976370765961733
2133779858.7931476,0.2771621879394394
2133779858.83318,0.2771621879394394
2133779858.8733404,0.24792473574380225
2133779858.91389,0.28512172244041567
2133779858.9532928,0.27800922991000504
2133779858.9941084,0.25871581909302405
2133779859.0333445,0.26222614757662427
2133779859.073825,0.26222614757662427
2133779859.1136174,0.23582714378694766
2133779859.1544456,0.2551201477430612
2133779859.1948168,0.2394393336393141
2133779859.23368,0.2167572985767925
2133779859.275358,0.20839872446233051
2133779859.3133588,0.2074981662010949
2133779859.3532014,0.17993869063153514
2133779859.3930118,0.17993869063153514
2133779859.434137,0.08740850000036546
2133779859.47305,0.08740850000036546
2133779859.5141664,0.0657048267392827
2133779859.5536594,0.10115150609136529
2133779859.5937383,0.06399106267437543
2133779859.6335433,0.05043348610697422
2133779859.673259,0.025975972305596062
2133779859.71484,-0.037918950323843834
2133779859.7544127,-0.037918950323843834
2133779859.793599,-0.06541894280332487
2133779859.8344796,-0.06541894280332487
2133779859.873448,-0.0934429234967804
2133779859.9143484,-0.1526067373850624
2133779859.9554214,-0.1546778579827713
2133779859.994954,-0.21007690036158108
2133779860.033213,-0.22346871964830786
2133779860.073178,-0.22903892863206157
2133779860.1139429,-0.22903892863206157
2133779860.1541853,-0.36
2133779860.1950142,-0.36
2133779860.232887,-0.36
2133779860.2731125,-0.36
2133779860.313634,-0.36
2133779860.3536496,-0.36
2133779860.3934343,-0.36
2133779860.4332335,-0.36
2133779860.4738626,-0.36
2133779860.5141616,-0.36
2133779860.551914,-0.36
2133779860.5917156,-0.36
2133779860.6316788,-0.36
2133779860.6718304,-0.36
2133779860.711858,-0.36
2133779860.7522545,-0.36
2133779860.7920914,-0.36
2133779860.832193,-0.36
2133779860.8716195,-0.36
2133779860.9115508,-0.36
2133779860.9520953,-0.36
2133779860.9925277,-0.36
2133779861.0326161,-0.36
2133779861.0723214,-0.36
2133779861.1124442,-0.36
2133779861.1534233,-0.36
2133779861.1925027,-0.36
2133779861.2324977,-0.36
2133779861.2718952,-0.36
2133779861.3120084,-0.36
2133779861.3521583,-0.36
2133779861.392161,-0.36
2133779861.4320407,-0.36
2133779861.471803,-0.36
2133779861.5117383,-0.36
2133779861.5517306,-0.3381618369167957
2133779861.5915992,-0.34570491082596366
2133779861.6316655,-0.34773974731803
2133779861.6723375,-0.34935305624043866
2133779861.712168,-0.34400653243507195
2133779861.7517076,-0.34737272149819465
2133779861.7915998,-0.3168898740543876
2133779861.8319688,-0.32904366389768536
2133779861.8721058,-0.32904366389768536
2133779861.9116075,-0.3139887606630001
2133779861.9528518,-0.2817051382466447
2133779861.9930182,-0.330936284487535
2133779862.0326488,-0.3164334845055842
2133779862.0729558,-0.2978403950775391
2133779862.11211,-0.2770696914744056
2133779862.1533034,-0.2573524390871973
2133779862.1921384,-0.2428653964911304
2133779862.2318463,-0.25006417984606794
2133779862.2719426,-0.23582198784901248
2133779862.3119245,-0.23582198784901248
2133779862.3514507,-0.23898344548476338
